Title,Company,Location,Experience,Experience_Min,Experience_Max,Salary,Salary_Min,Salary_Max,Skills,Job_Category,Keyword,Source,Posted_Date,Work_Mode,Job_Link,Role_Category
Data Analyst,Bahwan CyberTek,Chennai,3-4 Yrs,3.0,4.0,Not Available,,,"Azure Databricks, Data Bricks, Development, Life Sciences, Query, Tableau, Transformation, Verbal Communication",Data Analyst,Data Analyst,Naukri,3 days ago,On-site,https://www.naukri.com/job-listings-data-analyst-bahwan-cybertek-chennai-3-to-4-years-280726018693,Data Analyst
Data Analyst (Social Sector),Bahwan CyberTek,Jaipur,1-3 Yrs,1.0,3.0,5-11 Lacs PA,5.0,11.0,"Beneficiary Level Data Of Data Science, Data, Data Analysis, Kpi Measurement, Kra, Scheme, Social Compliance, Social Welfare Schemes",Data Analyst,Data Analyst,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-data-analyst-social-sector-bahwan-cybertek-jaipur-1-to-3-years-300726029195,Data Analyst
Data Analytics Manager,Bahwan CyberTek,Jaipur,6-11 Yrs,6.0,11.0,Not Available,,,"Business Intelligence, Data Analytics, Data Management, Data Modelling, Mis Reporting, Power BI, SQL, Statistical Analysis",Advanced Analytics,Business Intelligence,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-data-analytics-manager-bahwan-cybertek-jaipur-6-to-11-years-300726033340,Advanced Analytics
Data Scientist,Bahwan CyberTek,Chennai,10-12 Yrs,10.0,12.0,Not Available,,,"Bigquery, Google Analytics, Looker, Marketing Analytics, Power BI, Predictive Modeling, PySpark, Tableau",Data Scientist,Data Scientist,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-data-scientist-bahwan-cybertek-chennai-10-to-12-years-240726018930,Data Scientist
Developer Standard II- Python Developer,Bahwan CyberTek,Chennai,3-8 Yrs,3.0,8.0,Not Available,,,"Analytical Skills, Analytics, Big Data, Cloud, Data Management, Domain Expert, Project Management, Troubleshooting",Python Development,Python,Naukri,1 day ago,On-site,https://www.naukri.com/job-listings-developer-standard-ii-python-developer-bahwan-cybertek-chennai-3-to-8-years-300726500422,Python Development
PL SQL Developer,Bahwan CyberTek,Mumbai,4-9 Yrs,4.0,9.0,Not Available,,,"Computer Science, Helpdesk, J2Ee, PL/SQL, SQL Server, Spring, Spring Boot, Sql Queries",SQL / Database,Sql,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-pl-sql-developer-bahwan-cybertek-mumbai-4-to-9-years-270526500704,SQL / Database
Python Developer,Bahwan CyberTek,Hybrid - Chennai,4-8 Yrs,4.0,8.0,Not Available,,,"Azure, Azure Data Factory, Azure Data Lake Storage, Azure Databricks, Azure Synapse, ETL, Python, SQL",Python Development,Python,Naukri,1 week ago,Hybrid,https://www.naukri.com/job-listings-python-developer-bahwan-cybertek-chennai-4-to-8-years-240726021018,Python Development
Senior Python Developer,Bahwan CyberTek,Hybrid - New Delhi,4-5 Yrs,4.0,5.0,Not Available,,,"Development, ETL, PySpark, Python, Python Developer, Python Development, Senior",Python Development,Python,Naukri,1 week ago,Hybrid,https://www.naukri.com/job-listings-senior-python-developer-bahwan-cybertek-new-delhi-4-to-5-years-200726010096,Python Development
Software Developer - Power BI,Bahwan CyberTek,Mumbai,3-6 Yrs,3.0,6.0,Not Available,,,"Backend, Computer Science, Data Analysis, Data Modeling, E-Governance, Performance Tuning, Schema, Stored Procedures",Business Intelligence,Power Bi,Naukri,3+ weeks ago,On-site,https://www.naukri.com/job-listings-software-developer-power-bi-bahwan-cybertek-mumbai-3-to-6-years-270526500754,Business Intelligence
Urgent Opening- Data Governance Analyst,Bajaj Capital,Gurugram,4-7 Yrs,4.0,7.0,17-25 Lacs PA,17.0,25.0,"Data, Data Analysis, Data Governance, Data Profiling, Data Quality Management, Governance, Management, Quality",Other Analyst,Data Analyst,Naukri,1 week ago,On-site,https://www.naukri.com/job-listings-urgent-opening-data-governance-analyst-bajaj-capital-gurugram-4-to-7-years-230726024102,Other Analyst
